PERSON_ID,JERSEY_NUMBER,TEAM_ABBREVIATION
1630268,30,LAC
76511," ",ATL
203540,70,DET
921,43,CLE
1600,9,CHI
201176,33,CHA
76514,11,SAC
203561,20,PHI
203076,3,DAL
213,34,IND
76515,null,BOM
1884,85,CHA
989,43,PHX
76538,null,CHS
76533,11,POR
76516,15,DAL
76517,23,MIN
76518,22,WAS
76519,null,POR
905,34,IND
1627738,21,MEM
76521,42,CLE
202334,21,CLE
76522,20,MIL
1023,15,OKC
201175,0,BOS
76523,23,CLE
93,44,NYK
76524,6,SAC
76525,20,ATL
76526,16,IND
1631098,1,WAS
2668,23,PHI
293,54,LAC
390,5,MIA
1642368,12,ATL
76504,4,UTA
200781,40,LAC
76532,25,WAS
1729,31,CLE
76534,42,LAC
1629056,3,SAC
426,54,DAL
1629093,34,OKC
76536,12,GSW
1453,6,PHX
1631120,4,HOU
203958,24,MIA
76539,50,PHI
1008,12,PHI
76541,31,UTA
1626183,22,LAC
201286,18,SAS
76542,45,SAC
103,11,MIL
201948,3,DET
76543,20,WAS
1630620,5,HOU
201986,3,SAS
76545,22,DET
692,55,ORL
1629602,12,MIL
76551,21,ATL
201942,10,SAC
76562,10,ATL
76544,33,UTA
1630466,6,OKC
203473,14,PHI
76546,44,DET
143,24,LAC
76548,null,PRO
1626214,31,NOP
76593,null,PRO
76528,null,MIL
76529,31,NYK
76530,null,NYK
1629116,31,LAC
960,00,PHX
203521,8,SAC
76552,34,DET
76556,33,SAC
76557,null,BAL
1641926,38,DAL
1642484,10,ATL
202458,7,TOR
76558,34,ATL
76559,25,OKC
1629094,32,GSW
76560,3,NYK
76561,13,DET
76568,7,LAC
1628978,0,MIN
1631217,14,CHA
1629603,21,PHX
1760,13,SAS
1627767,14,MIA
1628977,6,WAS
2564,33,SAS
200821,9,DEN
200799,1,LAC
1641711,1,TOR
2424,10,ATL
2079,45,BKN
1722,8,MEM
76564,40,GSW
76565,23,BOS
101143,27,IND
1631172,13,OKC
76566,18,SAC
76567,25,SAS
76569,9,CLE
219,8,SAS
183,8,DEN
2568,10,DET
76576,20,SAC
203915,26,CHA
101113,50,GSW
2205,2,DAL
76577,42,DET
76578,4,ATL
124,21,LAL
2413,12,WAS
1059,19,POR
76580,null,DN
1720,51,ORL
76581,null,BAL
76582,19,BOM
76583,54,DAL
76584,12,BOS
76586,1,NYK
76585,16,NYK
1629029,77,LAL
2039,55,LAC
76587,34,OKC
201595,8,HOU
1628416,22,DAL
1629652,5,OKC
1630245,11,CHI
1628422,21,NYK
1629653,3,WAS
200763,5,SAC
76588,42,SAC
76589,13,LAC
428,11,BOS
201962,16,NYK
201604,55,BKN
1629635,45,LAL
76592,44,DET
202220,22,PHX
76570,null,DEF
76571,null,WAS
76575,23,CHI
1628408,35,MIN
76596,23,CHA
201609,31,MIL
204054,12,MIA
1068,50,IND
1630929,77,CHI
1724,17,HOU
76598,22,ATL
76599,10,SAC
203580,1,PHI
17,22,POR
1041,27,BOS
76603,7,MIL
76604,52,DAL
203083,1,PHI
76623,21,WAS
1630537,3,CHI
1642505,88,OKC
76605,10,SAC
404,00,POR
76607,5,GSW
201,14,POR
201162,10,PHX
76608,40,DET
76609,17,CHS
76610,null,DET
2768,21,CHI
1630561,7,PHX
76611,23,DET
247,4,DET
30,7,PHX
434,7,DAL
76615,21,SAC
1495,21,SAS
2399,34,GSW
1630288,11,PHI
76595,14,DET
1628495,14,BKN
76618,23,DEN
